COUNTYNAME,TOWNNAME,households,population,male,female
苗栗縣,南庄鄉,3814,8566,4679,3887
苗栗縣,頭屋鄉,3760,9351,4992,4359
苗栗縣,三義鄉,5818,14482,7687,6795
苗栗縣,西湖鄉,2584,5868,3326,2542
苗栗縣,造橋鄉,4509,11518,6114,5404
苗栗縣,三灣鄉,2292,5648,3097,2551
苗栗縣,獅潭鄉,1743,3930,2148,1782
苗栗縣,泰安鄉,1975,5412,2924,2488
彰化縣,彰化市,85276,220067,107746,112321
彰化縣,員林市,46321,122013,59903,62110
彰化縣,鹿港鎮,28585,82120,41602,40518
彰化縣,和美鎮,31660,86499,43943,42556
彰化縣,北斗鎮,12538,33031,16555,16476
彰化縣,溪湖鎮,18957,52695,26596,26099
彰化縣,田中鎮,14476,38204,19459,18745
彰化縣,二林鎮,17498,46342,23809,22533
彰化縣,線西鄉,5400,15988,8237,7751
彰化縣,伸港鄉,12811,38071,19065,19006
彰化縣,福興鄉,15385,44177,23014,21163
彰化縣,秀水鄉,12930,37270,19221,18049
彰化縣,花壇鄉,15794,42768,21895,20873
彰化縣,芬園鄉,7556,21307,11177,10130
彰化縣,大村鄉,13780,38851,19784,19067
彰化縣,埔鹽鄉,10934,30002,15830,14172
彰化縣,埔心鄉,12331,33029,16950,16079
彰化縣,永靖鄉,12246,34136,17630,16506
彰化縣,社頭鄉,14672,40205,20666,19539
彰化縣,二水鄉,5401,13170,6930,6240
彰化縣,田尾鄉,9126,25172,13018,12154
彰化縣,埤頭鄉,10107,27927,14419,13508
彰化縣,芳苑鄉,10962,29796,15791,14005
彰化縣,大城鄉,5204,14099,7611,6488
彰化縣,竹塘鄉,4917,13904,7319,6585
彰化縣,溪州鄉,9862,27175,14133,13042
南投縣,南投市,38344,96077,47668,48409
南投縣,埔里鎮,30922,75635,37305,38330
南投縣,草屯鎮,37951,97839,48715,49124
南投縣,竹山鎮,21012,49773,25319,24454
南投縣,集集鎮,4384,9943,5127,4816
南投縣,名間鄉,13537,34471,18137,16334
南投縣,鹿谷鄉,7815,15415,8232,7183
南投縣,中寮鄉,5624,12806,6995,5811
南投縣,魚池鄉,5755,14077,7390,6687
南投縣,國姓鄉,7073,15889,8574,7315
南投縣,水里鄉,7128,15389,8034,7355
南投縣,信義鄉,5256,14859,7910,6949
南投縣,仁愛鄉,4958,15314,7884,7430
雲林縣,斗六市,44567,108937,53388,55549
雲林縣,斗南鎮,17983,43285,21821,21464
雲林縣,虎尾鎮,29718,71255,35635,35620
雲林縣,西螺鎮,16728,43925,22019,21906
雲林縣,土庫鎮,10557,27219,14137,13082
雲林縣,北港鎮,16670,36951,18893,18058
雲林縣,古坑鄉,12230,29149,15164,13985
雲林縣,大埤鄉,6995,17444,9245,8199
雲林縣,莿桐鄉,10170,27179,14047,13132
雲林縣,林內鄉,6301,16240,8478,7762
雲林縣,二崙鄉,9461,24098,12889,11209
雲林縣,崙背鄉,9187,22185,11720,10465
雲林縣,麥寮鄉,16259,48614,23936,24678
雲林縣,東勢鄉,5845,12821,7101,5720
雲林縣,褒忠鄉,4630,11461,6142,5319
雲林縣,臺西鄉,8427,20678,11036,9642
雲林縣,元長鄉,9391,22438,12244,10194
雲林縣,四湖鄉,8542,20171,11012,9159
雲林縣,口湖鄉,9229,23908,12712,11196
雲林縣,水林鄉,9545,21694,11902,9792
嘉義縣,太保市,16116,39875,20052,19823
嘉義縣,朴子市,17110,39957,19976,19981
嘉義縣,布袋鎮,9867,23487,12005,11482
嘉義縣,大林鎮,12292,29559,14922,14637
嘉義縣,民雄鄉,28586,69731,35428,34303
嘉義縣,溪口鄉,5321,12566,6750,5816
嘉義縣,新港鄉,11347,28953,15272,13681
嘉義縣,六腳鄉,8785,19976,10641,9335
嘉義縣,東石鄉,8984,21630,11465,10165
嘉義縣,義竹鄉,7026,15792,8254,7538
嘉義縣,鹿草鄉,5892,13415,7298,6117
嘉義縣,水上鄉,19761,46751,24100,22651
嘉義縣,中埔鄉,16955,41524,21522,20002
嘉義縣,竹崎鄉,12198,32131,17026,15105
嘉義縣,梅山鄉,6949,17152,9067,8085
嘉義縣,番路鄉,4481,10538,5623,4915
嘉義縣,大埔鄉,1866,4154,2103,2051
嘉義縣,阿里山鄉,1843,5170,2691,2479
屏東縣,屏東市,80690,191218,93329,97889
屏東縣,潮州鎮,22612,53689,26392,27297
屏東縣,東港鎮,18760,45809,22897,22912
屏東縣,恆春鎮,12338,28695,14501,14194
屏東縣,萬丹鄉,17379,48623,25056,23567
屏東縣,長治鄉,11687,29177,14938,14239
屏東縣,麟洛鄉,4373,10402,5304,5098
屏東縣,九如鄉,8060,21368,10885,10483
屏東縣,里港鄉,9049,24908,12508,12400
屏東縣,鹽埔鄉,8527,23040,11953,11087
屏東縣,高樹鄉,9364,21866,11485,10381
屏東縣,萬巒鄉,6985,18597,9695,8902
屏東縣,內埔鄉,21368,52702,26808,25894
屏東縣,竹田鄉,5975,15325,8158,7167
屏東縣,新埤鄉,3569,8974,4707,4267
屏東縣,枋寮鄉,9035,22273,11505,10768
屏東縣,新園鄉,12494,31637,16331,15306
屏東縣,崁頂鄉,4784,14430,7228,7202
屏東縣,林邊鄉,6665,15771,7972,7799
屏東縣,南州鄉,3983,9597,4886,4711
屏東縣,佳冬鄉,7172,17261,8869,8392
屏東縣,琉球鄉,5227,12065,6523,5542
屏東縣,車城鄉,3544,7664,4078,3586
屏東縣,滿州鄉,2989,6920,3738,3182
屏東縣,枋山鄉,2040,4925,2558,2367
屏東縣,三地門鄉,2468,7579,3777,3802
屏東縣,霧臺鄉,1121,3167,1601,1566
屏東縣,瑪家鄉,2318,6651,3310,3341
屏東縣,泰武鄉,1530,5187,2650,2537
屏東縣,來義鄉,2376,7275,3591,3684
屏東縣,春日鄉,1544,4848,2464,2384
屏東縣,獅子鄉,1664,4816,2456,2360
屏東縣,牡丹鄉,2092,4670,2305,2365
臺東縣,臺東市,43563,102558,50529,52029
臺東縣,成功鎮,5536,12734,6649,6085
臺東縣,關山鎮,3238,7749,3973,3776
臺東縣,卑南鄉,7071,16253,8407,7846
臺東縣,大武鄉,2486,5304,2773,2531
臺東縣,太麻里鄉,4904,10358,5455,4903
臺東縣,東河鄉,3664,7702,4185,3517
臺東縣,長濱鄉,2941,6440,3555,2885
臺東縣,鹿野鄉,3038,6942,3656,3286
臺東縣,池上鄉,3190,7512,3832,3680
臺東縣,綠島鄉,1297,4312,2316,1996
臺東縣,延平鄉,1087,3554,1825,1729
臺東縣,海端鄉,1142,4339,2237,2102
臺東縣,達仁鄉,1448,3451,1838,1613
臺東縣,金峰鄉,1224,3685,1855,1830
臺東縣,蘭嶼鄉,2029,5199,2606,2593
花蓮縣,花蓮市,43447,96542,46045,50497
花蓮縣,鳳林鎮,4408,10082,5232,4850
花蓮縣,玉里鎮,9150,21195,11092,10103
花蓮縣,新城鄉,8872,20481,10287,10194
花蓮縣,吉安鄉,35250,82938,41063,41875
花蓮縣,壽豐鄉,7639,16578,8744,7834
花蓮縣,光復鄉,5223,11474,6012,5462
花蓮縣,豐濱鄉,1718,4071,2280,1791
花蓮縣,瑞穗鄉,4783,10367,5519,4848
花蓮縣,富里鄉,4040,9365,4969,4396
花蓮縣,秀林鄉,5377,17181,8710,8471
花蓮縣,萬榮鄉,2192,6049,3155,2894
花蓮縣,卓溪鄉,1747,5838,3146,2692
澎湖縣,馬公市,27612,63090,31964,31126
澎湖縣,湖西鄉,6818,16199,8436,7763
澎湖縣,白沙鄉,3765,10126,5184,4942
澎湖縣,西嶼鄉,3217,8020,4119,3901
澎湖縣,望安鄉,2024,5300,2823,2477
澎湖縣,七美鄉,1559,3934,1992,1942
基隆市,中正區,25796,51486,25811,25675
基隆市,七堵區,23435,52121,25951,26170
基隆市,暖暖區,17455,38455,19112,19343
基隆市,仁愛區,19177,39608,19382,20226
基隆市,中山區,21358,45445,22895,22550
基隆市,安樂區,36768,79749,39107,40642
基隆市,信義區,24420,52445,25733,26712
新竹市,東區,92413,222153,109629,112524
新竹市,北區,65589,154124,75045,79079
新竹市,香山區,31527,79684,40247,39437
嘉義市,東區,48856,116482,55101,61381
嘉義市,西區,60129,145047,69878,75169
金門縣,金城鎮,13934,40860,20220,20640
金門縣,金湖鎮,10619,30452,15201,15251
金門縣,金沙鎮,6988,19802,9747,10055
金門縣,金寧鄉,11714,35191,17583,17608
金門縣,烈嶼鄉,3457,12004,5912,6092
金門縣,烏坵鄉,129,594,307,287
連江縣,南竿鄉,2386,7636,4317,3319
連江縣,北竿鄉,953,2917,1669,1248
連江縣,莒光鄉,372,1553,983,570
連江縣,東引鄉,376,1525,961,564
