station_id,station_name,county_name,town_name,twd67_lat,twd67_lon,wgs84_lat,wgs84_lon,distance_m
C0V820,小林,高雄市,甲仙區,23.150164,120.625189,23.148408,120.63325,846.98610662652
C0X180,山上,臺南市,山上區,23.077444,120.355194,23.0757,120.363253,846.915006421566
C0R600,舊泰武,屏東縣,泰武鄉,22.58995,120.656922,22.588194,120.664944,846.4042589290975
C0S790,金崙,臺東縣,太麻里鄉,22.54,120.958889,22.538122,120.966875,846.3424695770192
C0G830,埤頭,彰化縣,埤頭鄉,23.867806,120.444722,23.866003,120.452806,846.1277203734219
C0G800,埔鹽,彰化縣,埔鹽鄉,24.002167,120.423583,24.000394,120.431683,846.092337261903
C0V770,大社,高雄市,大社區,22.731944,120.338583,22.730306,120.346639,846.0469628086822
C0V630,茄萣,高雄市,茄萣區,22.908444,120.174583,22.906642,120.182608,846.0346330036831
C2W030,金門(東),金門縣,金湖鎮,24.450074,118.443627,24.448431,118.451786,845.8509901249137
C0W140,金沙,金門縣,金沙鎮,24.489931,118.400617,24.488292,118.408778,845.6973849634174
CAL080,國三N303K,嘉義縣,中埔鄉,23.413742,120.444389,23.411969,120.452447,845.5412932679633
C0W150,金寧,金門縣,金寧鄉,24.459339,118.320831,24.457703,118.328989,845.5250375928046
467110,金門,金門縣,金城鎮,24.408942,118.281127,24.407306,118.289281,845.4518065997221
C0D430,峨眉,新竹縣,峨眉鄉,24.692389,121.009083,24.6905,121.017189,845.4447608380859
C0D550,雪霸,新竹縣,五峰鄉,24.528722,121.107917,24.526972,121.11605,845.4384336637748
C2F000,大肚,臺中市,大肚區,24.154667,120.564,24.15295,120.572117,845.3904166781343
C0W240,九宮,金門縣,烈嶼鄉,24.425386,118.232031,24.423753,118.240186,845.3739083773987
C0X140,西港,臺南市,西港區,23.127417,120.195083,23.125608,120.203108,844.9241593486348
C0G650,員林,彰化縣,員林市,23.948333,120.577528,23.946503,120.585597,844.867662686783
CAN100,國三S366K,臺南市,關廟區,22.909476,120.343284,22.9077,120.3513,844.4521364619101
