避難收容處所名稱,縣市及鄉鎮市區,經度,緯度,is_indoor,nearest_station,nearest_aqi,distance_km,risk_label
臺南市將軍區老人文康活動中心,臺南市將軍區,120.1606,23.201,True,善化,79,17.05,Normal
羅山縱管處,花蓮縣富里鄉,121.2776,23.2021,True,關山,24,21.09,Normal
七美鄉老人文康老人中心,澎湖縣七美鄉,119.428683,23.202412,True,馬公,40,43.11,Normal
七美國小視聽教室,澎湖縣七美鄉,119.4286,23.2025,True,馬公,40,43.11,Normal
臺南市麻豆區海埔池王府預備,臺南市麻豆區,120.2122,23.2032,True,善化,79,13.25,Normal
臺南市麻豆區港尾社區活動中心預備,臺南市麻豆區,120.2036,23.2042,True,善化,79,13.93,Normal
臺南市佳里區溪州社區活動中心,臺南市佳里區,120.184,23.2047,True,善化,79,15.41,Normal
海豐社區活動中心,澎湖縣七美鄉,119.4335,23.2056,True,馬公,40,42.62,Normal
中和村社區活動中心,澎湖縣七美鄉,119.4295,23.2058,True,馬公,40,42.73,Normal
臺南市將軍區將軍國中,臺南市將軍區,120.1507,23.206,True,善化,79,18.19,Normal
臺南市將軍區將軍國中,臺南市將軍區,120.1507,23.206,True,善化,79,18.19,Normal
臺南市將軍區三吉社區活動中心,臺南市將軍區,120.1341,23.2068,True,安南,92,19.59,Normal
平和社區活動中心,澎湖縣七美鄉,119.4286,23.2069,True,馬公,40,42.64,Normal
臺南市下營區老人休閒活動中心,臺南市下營區,120.2632,23.2082,True,善化,79,11.11,Normal
宜灣天主堂Yi-Wan Catholic Church,臺東縣成功鎮,121.400535,23.210374,True,關山,24,30.55,Normal
臺南市將軍區玉山社區活動中心,臺南市將軍區,120.1232,23.2109,True,安南,92,20.5,Normal
西湖社區活動中心,澎湖縣七美鄉,119.4376,23.211,True,馬公,40,41.92,Normal
東湖社區暨農漁民活動中心,澎湖縣七美鄉,119.437357,23.211082,True,馬公,40,41.92,Normal
臺南市官田區南?里活動中心,臺南市官田區,120.3046,23.2116,True,新營,74,10.54,Normal
臺南市下營區中營國小活動中心,臺南市下營區,120.2764,23.213,True,新營,74,11.11,Normal
七美國中學生活動中心,澎湖縣七美鄉,119.4287,23.2135,True,馬公,40,41.95,Normal
臺南市將軍區將軍國小,臺南市將軍區,120.13448,23.21436,True,善化,79,20.09,Normal
臺南市將軍區將軍國小,臺南市將軍區,120.13448,23.21436,True,善化,79,20.09,Normal
雙湖國小學生活動中心,澎湖縣七美鄉,119.4294,23.2148,True,馬公,40,41.79,Normal
臺南市官田區二鎮社區活動中心,臺南市官田區,120.3296,23.2168,True,新營,74,9.96,Normal
臺南市六甲區嘉南國民小學,臺南市官田區,120.365156,23.217484,True,新營,74,10.96,Normal
臺南市將軍區苓保社區活動中心,臺南市將軍區,120.1657,23.2175,True,善化,79,17.76,Normal
臺南市下營區中營開化社區活動中心,臺南市下營區,120.276,23.2181,True,新營,74,10.61,Normal
臺南市將軍區馬沙溝濱海活動中心,臺南市將軍區,120.095,23.2182,True,安南,92,22.68,Normal
臺南市六甲區大丘里活動中心,臺南市六甲區,120.4369,23.2191,True,新營,74,15.56,Normal
古風國小,花蓮縣卓溪鄉,121.2645,23.2192,True,關山,24,22.02,Normal
臺南市將軍區苓和國小,臺南市將軍區,120.161368,23.219838,True,善化,79,18.26,Normal
臺南市將軍區苓和國小,臺南市將軍區,120.161368,23.219838,True,善化,79,18.26,Normal
臺南市下營區中營地區民眾活動中心,臺南市下營區,120.2839,23.22,True,新營,74,10.11,Normal
崙天社區活動中心,花蓮縣卓溪鄉,121.2649,23.2202,True,關山,24,22.14,Normal
臺南市將軍區苓和社區活動中心,臺南市將軍區,120.1669,23.2206,True,善化,79,17.89,Normal
臺南市將軍區廣安宮,臺南市將軍區,120.1162,23.221,True,安南,92,21.83,Normal
臺南市六甲區七甲龍湖聯合多功能活動中心,臺南市六甲區,120.3454,23.2223,True,新營,74,9.7,Normal
臺南市將軍區北埔社區活動中心,臺南市將軍區,120.1491,23.2224,True,善化,79,19.41,Normal
膽曼社區活動中心,臺東縣長濱鄉,121.414327,23.223299,True,關山,24,32.54,Normal
臺南市將軍區巷口社區活動中心,臺南市將軍區,120.1596,23.2239,True,新營,74,18.49,Normal
臺南市六甲區六甲國小,臺南市六甲區,120.3503,23.2256,True,新營,74,9.52,Normal
新興竹田聯合社區活動中心,花蓮縣富里鄉,121.2899,23.2261,True,關山,24,24.01,Normal
臺南市六甲區王爺里活動中心,臺南市六甲區,120.4002,23.2266,True,新營,74,12.21,Normal
臺南市六甲區甲南里活動中心,臺南市六甲區,120.3526,23.2267,True,新營,74,9.49,Normal
臺南市六甲區六甲國中,臺南市六甲區,120.3489,23.2271,True,新營,74,9.31,Normal
臺南市六甲區二甲里活動中心,臺南市六甲區,120.3461,23.2278,True,新營,74,9.14,Normal
臺南市學甲區東陽國小活動中心,臺南市學甲區,120.1835,23.2279,True,新營,74,16.17,Normal
臺南市六甲區六甲里活動中心,臺南市六甲區,120.3493,23.2295,True,新營,74,9.08,Normal
學甲區綜合體育館,臺南市學甲區,120.181455,23.229895,True,新營,74,16.23,Normal
臺南市學甲藝文展示館,臺南市學甲區,120.1822,23.2299,True,新營,74,16.16,Normal
臺南市學甲區公所,臺南市學甲區,120.18247,23.230484,True,新營,74,16.11,Normal
臺南市學甲區慈福里活動中心,臺南市學甲區,120.1836,23.2312,True,新營,74,15.97,Normal
臺南市六甲區甲東里活動中心,臺南市六甲區,120.3553,23.2313,True,新營,74,9.13,Normal
臺南市六甲區公所,臺南市六甲區,120.3475,23.2315,True,新營,74,8.8,Normal
臺南市六甲區多功能運動公園,臺南市六甲區,120.344149,23.232106,False,新營,74,8.63,Warning
